"model","group","Dice","IoU","Precision","Recall","F2","mean_pred_area","mean_gt_area","area_ratio","area_diff","mean_pred_area_per_image","mean_gt_area_per_image","drop_F2_data4_minus_data3","drop_Dice_data4_minus_data3","area_ratio_gap_data4_minus_data3"
"M0","data2","0.7127476329971124","0.5536968905767949","0.8555644530294925","0.6107902413905296","0.6478603931345621","0.056732177734375","0.07946760004216974","0.7139031575791683","-0.02273542230779474","0.056732177734375","0.07946760004216974","-0.04838829882667334","-0.0006584552205499694","-0.2303231088852563"
"M0","data3","0.5796060675922103","0.40806008415544837","0.7092307014078","0.49004208544393424","0.5223272627048579","0.04111773889289511","0.059509098629544586","0.6909486604623972","-0.018391359736649474","0.04111773889289511","0.059509098629544586","-0.04838829882667334","-0.0006584552205499694","-0.2303231088852563"
"M0","data4","0.5789476123716604","0.4074076490155966","0.9179100017147205","0.4228128548655306","0.4739389638781845","0.0360480061283818","0.0782587969744647","0.4606255515771409","-0.042210790846082896","0.0360480061283818","0.0782587969744647","-0.04838829882667334","-0.0006584552205499694","-0.2303231088852563"
"M1","data2","0.9153459064455441","0.8439058238796849","0.9178420287088915","0.9128633240454478","0.9138547394681982","0.07903653925115411","0.07946760004216974","0.9945755158512145","-0.000431060791015625","0.07903653925115411","0.07946760004216974","-0.0691921537592427","-0.010649753741769685","-0.25955647203875776"
"M1","data3","0.7527300696846648","0.6035021380611331","0.7141685999005513","0.7956934674107022","0.7779327147563618","0.0663022723732484","0.059509098629544586","1.1141533439190383","0.006793173743703813","0.0663022723732484","0.059509098629544586","-0.0691921537592427","-0.010649753741769685","-0.25955647203875776"
"M1","data4","0.7420803159428951","0.5899266267537066","0.8052099083745242","0.6881299568339104","0.7087405609971191","0.06687973163746021","0.0782587969744647","0.8545968718802806","-0.011379065337004488","0.06687973163746021","0.0782587969744647","-0.0691921537592427","-0.010649753741769685","-0.25955647203875776"
"M2","data2","0.7781422737062546","0.6368517847545091","0.7493594872665311","0.8092244650373266","0.7964983030334295","0.08581612326882103","0.07946760004216974","1.0798880603466297","0.00634852322665129","0.08581612326882103","0.07946760004216974","0.1105090236460059","0.10614830381612284","0.048042588807006736"
"M2","data3","0.5543885004130927","0.38349757218416786","0.6130089918214122","0.5060009189611027","0.5243056900112091","0.049121071623479326","0.059509098629544586","0.8254378658108836","-0.01038802700606526","0.049121071623479326","0.059509098629544586","0.1105090236460059","0.10614830381612284","0.048042588807006736"
"M2","data4","0.6605368042292156","0.4931354637550275","0.7083745843038952","0.6187514330022927","0.634814713657215","0.06835753829390914","0.0782587969744647","0.8734804546178904","-0.009901258680555552","0.06835753829390914","0.0782587969744647","0.1105090236460059","0.10614830381612284","0.048042588807006736"
"M2b_epoch10","data2","0.88769988949715","0.798075879985159","0.862001484164461","0.914977645793287","0.903867816527839","0.0843514529141513","0.0794676000421697","1.06145702468452","0.00488385287198154","0.0843514529141513","0.0794676000421697","0.0550146753679979","0.0433453669715009","0.0562881940731139"
"M2b_epoch10","data3","0.738207723999282","0.5850469511028","0.815277810190336","0.674450378746115","0.698584448206178","0.0492297639011738","0.0595090986295446","0.827264347171429","-0.0102793347283708","0.0492297639011738","0.0595090986295446","0.0550146753679979","0.0433453669715009","0.0562881940731139"
"M2b_epoch10","data4","0.781553090970783","0.641433849254439","0.833055275170309","0.736048199426981","0.753599123574176","0.0691457677770544","0.0782587969744647","0.883552541244543","-0.00911302919741029","0.0691457677770544","0.0782587969744647","0.0550146753679979","0.0433453669715009","0.0562881940731139"
"M2b_epoch25","data2","0.905071191839437","0.826602775535628","0.931181947002323","0.880384810922035","0.890095980232605","0.0751325433904474","0.0794676000421697","0.945448634362832","-0.00433505665172229","0.0751325433904474","0.0794676000421697","0.0383242882360162","0.0535676569770828","-0.0552991042492578"
"M2b_epoch25","data3","0.703626658683888","0.542765449009888","0.750169860167354","0.662521474244707","0.678373441532793","0.0525561714065986","0.0595090986295446","0.883161798536937","-0.00695292722294601","0.0525561714065986","0.0595090986295446","0.0383242882360162","0.0535676569770828","-0.0552991042492578"
"M2b_epoch25","data4","0.757194315660971","0.609262031227091","0.835915879963103","0.692023661011688","0.71669772976881","0.0647875467936198","0.0782587969744647","0.82786269428768","-0.0134712501808449","0.0647875467936198","0.0782587969744647","0.0383242882360162","0.0535676569770828","-0.0552991042492578"
"M2b_epoch50","data2","0.90559386695423","0.827475138899243","0.941625973744528","0.872217724954891","0.885268541744493","0.0736099589954723","0.0794676000421697","0.926288823288016","-0.00585764104669743","0.0736099589954723","0.0794676000421697","0.0771922491167816","0.0864158757274485","-0.0127238459419482"
"M2b_epoch50","data3","0.697436919549519","0.535434275711482","0.795313644371244","0.621011060281761","0.649479306946411","0.0464669614282322","0.0595090986295446","0.780837799428282","-0.0130421372013124","0.0464669614282322","0.0595090986295446","0.0771922491167816","0.0864158757274485","-0.0127238459419482"
"M2b_epoch50","data4","0.783852795276968","0.64453776009417","0.902171454089803","0.692970570872007","0.726671556063193","0.0601116816202799","0.0782587969744647","0.768113953486334","-0.0181471153541847","0.0601116816202799","0.0782587969744647","0.0771922491167816","0.0864158757274485","-0.0127238459419482"
